   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL). Berkeley. CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(110)-3d
 calculated by Aleanxdre on Mar 10. 2022

   initial angular momentum (li) = 2   msorder=  6   raorder= 4
   photon polarization angle (polar.azimuth) =(   0.0   0.0 ) (deg)

   radius. depth and lattice constant=  10.0.  27.0 and   3.90 angstrom
   cluster size= 502 atoms and spacings=  0.00  0.00  0.00  1.38 angs
   inner potential= 20.0 V  debye and sample temperature= 114. 300 K
   number of valence electrons=  10     bandgap energy=   0.00 eV
   density of bulk=  19.30 g/cm3     molecular weight= 183.49 amu
   effective weight for kind 1-3 =   87.6   47.9   16.0 amu
   half aperture angle=    1.5 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    19   760    1   19   40  760  ncurve npoint nk ntheta nphi nangle
  213.8    1.3037e-03    8.8839e-04    4.6749e-01    9.4135e-02
  216.8    1.2304e-03    8.8839e-04    3.8503e-01    1.1209e-01
  219.8    1.1070e-03    8.8839e-04    2.4610e-01    1.0898e-01
  222.8    9.7100e-04    8.8839e-04    9.2990e-02    5.2629e-02
  225.8    9.0436e-04    8.8839e-04    1.7975e-02   -1.2956e-02
  228.8    8.4661e-04    8.8839e-04   -4.7026e-02   -6.6136e-02
  231.8    7.4682e-04    8.8839e-04   -1.5936e-01   -8.7360e-02
  234.8    6.9799e-04    8.8839e-04   -2.1432e-01   -8.9602e-02
  237.8    7.2383e-04    8.8839e-04   -1.8523e-01   -7.0298e-02
  240.8    7.8702e-04    8.8839e-04   -1.1411e-01   -2.3180e-02
  243.8    7.5931e-04    8.8839e-04   -1.4530e-01    3.7666e-02
   4    40  18.85   27.0    1.0    0.0   ----------------------------
  126.8    8.9897e-04    9.9076e-04   -9.2652e-02   -1.8594e-01
  129.8    1.0247e-03    9.9076e-04    3.4222e-02   -9.8071e-02
  132.8    1.0788e-03    9.9076e-04    8.8814e-02   -3.9979e-02
  135.8    1.0832e-03    9.9076e-04    9.3342e-02    1.9387e-03
  138.8    1.1729e-03    9.9076e-04    1.8387e-01    5.3172e-02
  141.8    1.3280e-03    9.9076e-04    3.4037e-01    1.1469e-01
  144.8    1.3956e-03    9.9076e-04    4.0858e-01    1.2527e-01
  147.8    1.4407e-03    9.9076e-04    4.5412e-01    9.0237e-02
  150.8    1.3571e-03    9.9076e-04    3.6980e-01    1.8747e-02
  153.8    1.2273e-03    9.9076e-04    2.3877e-01   -4.4095e-02
  156.8    1.1022e-03    9.9076e-04    1.1251e-01   -8.4286e-02
  159.8    8.3512e-04    9.9076e-04   -1.5710e-01   -1.0763e-01
  162.8    6.1713e-04    9.9076e-04   -3.7712e-01   -1.0035e-01
  165.8    5.6645e-04    9.9076e-04   -4.2827e-01   -7.2367e-02
  168.8    6.1980e-04    9.9076e-04   -3.7443e-01   -1.6669e-02
  171.8    7.2234e-04    9.9076e-04   -2.7093e-01    5.2574e-02
  174.8    8.0079e-04    9.9076e-04   -1.9175e-01    1.1021e-01
  177.8    8.5790e-04    9.9076e-04   -1.3410e-01    1.2393e-01
  180.8    8.7859e-04    9.9076e-04   -1.1322e-01    7.6588e-02
  183.8    8.3223e-04    9.9076e-04   -1.6001e-01    1.0835e-02
  186.8    7.6855e-04    9.9076e-04   -2.2429e-01   -4.9159e-02
  189.8    6.6249e-04    9.9076e-04   -3.3134e-01   -8.0809e-02
  192.8    5.8021e-04    9.9076e-04   -4.1438e-01   -9.2428e-02
  195.8    5.6040e-04    9.9076e-04   -4.3438e-01   -7.5066e-02
  198.8    7.1082e-04    9.9076e-04   -2.8256e-01   -4.8848e-02
  201.8    9.7330e-04    9.9076e-04   -1.7625e-02    1.6084e-03
  204.8    1.1925e-03    9.9076e-04    2.0359e-01    5.8373e-02
  207.8    1.2797e-03    9.9076e-04    2.9165e-01    1.0793e-01
  210.8    1.4058e-03    9.9076e-04    4.1889e-01    9.2982e-02
  213.8    1.4215e-03    9.9076e-04    4.3472e-01    3.8408e-02
  216.8    1.3132e-03    9.9076e-04    3.2541e-01   -8.3362e-03
  219.8    1.2340e-03    9.9076e-04    2.4548e-01   -2.1100e-02
  222.8    1.1193e-03    9.9076e-04    1.2968e-01   -3.3795e-02
  225.8    1.1168e-03    9.9076e-04    1.2723e-01   -3.3275e-02
  228.8    1.0736e-03    9.9076e-04    8.3572e-02   -4.2014e-02
  231.8    9.6948e-04    9.9076e-04   -2.1488e-02   -2.4216e-02
  234.8    8.2064e-04    9.9076e-04   -1.7171e-01   -2.3551e-02
  237.8    8.3230e-04    9.9076e-04   -1.5994e-01    2.7083e-02
  240.8    8.9183e-04    9.9076e-04   -9.9859e-02    6.6361e-02
  243.8    8.6447e-04    9.9076e-04   -1.2747e-01    1.1104e-01
   5    40  18.85   30.0    1.0    0.0   ----------------------------
  126.8    1.2248e-03    1.0898e-03    1.2385e-01   -2.1258e-01
  129.8    1.3662e-03    1.0898e-03    2.5362e-01   -2.2956e-02
  132.8    1.4045e-03    1.0898e-03    2.8877e-01    8.6221e-02
  135.8    1.3221e-03    1.0898e-03    2.1311e-01    1.1121e-01
  138.8    1.3026e-03    1.0898e-03    1.9525e-01    1.2005e-01
  141.8    1.4830e-03    1.0898e-03    3.6080e-01    1.1882e-01
  144.8    1.5925e-03    1.0898e-03    4.6121e-01    7.3079e-02
  147.8    1.4354e-03    1.0898e-03    3.1711e-01   -1.0527e-02
  150.8    1.1457e-03    1.0898e-03    5.1310e-02   -9.1537e-02
  153.8    1.0781e-03    1.0898e-03   -1.0707e-02   -1.2137e-01
  156.8    1.0214e-03    1.0898e-03   -6.2796e-02   -1.1087e-01
  159.8    8.3299e-04    1.0898e-03   -2.3566e-01   -8.0929e-02
  162.8    6.2225e-04    1.0898e-03   -4.2903e-01   -4.6449e-02
  165.8    6.0500e-04    1.0898e-03   -4.4486e-01    6.0675e-03
  168.8    6.3976e-04    1.0898e-03   -4.1297e-01    5.0871e-02
  171.8    7.1134e-04    1.0898e-03   -3.4728e-01    7.9135e-02
  174.8    7.7858e-04    1.0898e-03   -2.8558e-01    8.1946e-02
  177.8    8.3877e-04    1.0898e-03   -2.3036e-01    8.1174e-02
  180.8    8.5712e-04    1.0898e-03   -2.1352e-01    6.6952e-02
  183.8    8.2464e-04    1.0898e-03   -2.4332e-01    3.8978e-02
  186.8    7.4981e-04    1.0898e-03   -3.1198e-01   -4.9305e-03
  189.8    6.7004e-04    1.0898e-03   -3.8518e-01   -4.3723e-02
  192.8    6.3299e-04    1.0898e-03   -4.1918e-01   -6.5312e-02
  195.8    6.1700e-04    1.0898e-03   -4.3385e-01   -9.1566e-02
  198.8    7.1242e-04    1.0898e-03   -3.4629e-01   -1.0462e-01
  201.8    9.7745e-04    1.0898e-03   -1.0311e-01   -8.8897e-02
  204.8    1.0428e-03    1.0898e-03   -4.3161e-02   -3.3922e-02
  207.8    1.0697e-03    1.0898e-03   -1.8480e-02    4.1358e-02
  210.8    1.2893e-03    1.0898e-03    1.8303e-01    8.5826e-02
  213.8    1.4907e-03    1.0898e-03    3.6788e-01    1.0395e-01
  216.8    1.5467e-03    1.0898e-03    4.1925e-01    8.7799e-02
  219.8    1.3892e-03    1.0898e-03    2.7471e-01    6.3185e-02
  222.8    1.3859e-03    1.0898e-03    2.7164e-01    1.7297e-02
  225.8    1.4586e-03    1.0898e-03    3.3835e-01   -2.2682e-02
  228.8    1.4770e-03    1.0898e-03    3.5528e-01   -6.3117e-02
  231.8    1.2718e-03    1.0898e-03    1.6701e-01   -4.9136e-02
  234.8    1.1666e-03    1.0898e-03    7.0463e-02   -1.9809e-02
  237.8    1.1427e-03    1.0898e-03    4.8527e-02    1.5919e-02
  240.8    1.2052e-03    1.0898e-03    1.0583e-01    2.1522e-03
  243.8    1.2100e-03    1.0898e-03    1.1030e-01   -4.7059e-02
   6    40  18.85   33.0    1.0    0.0   ----------------------------
  126.8    1.2009e-03    1.0638e-03    1.2882e-01   -1.3301e-01
  129.8    1.1892e-03    1.0638e-03    1.1781e-01   -4.8065e-02
  132.8    1.2150e-03    1.0638e-03    1.4210e-01   -8.2852e-03
  135.8    1.1371e-03    1.0638e-03    6.8898e-02    3.0953e-03
  138.8    1.1058e-03    1.0638e-03    3.9396e-02    3.3701e-02
  141.8    1.2683e-03    1.0638e-03    1.9219e-01    7.7570e-02
  144.8    1.4038e-03    1.0638e-03    3.1952e-01    7.8853e-02
  147.8    1.3463e-03    1.0638e-03    2.6550e-01    2.9836e-02
  150.8    1.1670e-03    1.0638e-03    9.6946e-02   -4.6467e-02
  153.8    1.1201e-03    1.0638e-03    5.2871e-02   -1.0166e-01
  156.8    9.6701e-04    1.0638e-03   -9.1025e-02   -1.2797e-01
  159.8    6.8962e-04    1.0638e-03   -3.5177e-01   -1.1585e-01
  162.8    6.1886e-04    1.0638e-03   -4.1829e-01   -6.9816e-02
  165.8    7.1338e-04    1.0638e-03   -3.2944e-01   -5.8773e-03
  168.8    7.3620e-04    1.0638e-03   -3.0799e-01    4.6496e-02
  171.8    7.8543e-04    1.0638e-03   -2.6171e-01    9.0845e-02
  174.8    8.9436e-04    1.0638e-03   -1.5932e-01    1.2319e-01
